chrom	chromStart	chromEnd	id	st.recomb	st.diversity	st.bkgd	bp.simpleRepeat	bp.rmskRM327	bp.phastConsElements46wayPlacMammal	bp.allSoftRegions	perc.simpleRepeat	perc.rmskRM327	perc.phastConsElements46wayPlacMammal	perc.allSoftRegions
chr5	11950	13577	chr5.63519	NA	0.00699836769230769	0.982	481	1624	0	1624	29.56	99.82	0	99.82
chr5	1656054	1660027	chr5.63520	NA	0.00137797919647771	0.994	88	1206	375	1596	2.21	30.35	9.44	40.17
chr5	1755184	1764190	chr5.63521	NA	0.00226971379585327	0.994	147	2719	45	2827	1.63	30.19	0.5	31.39
chr5	1764474	1768390	chr5.63522	NA	0.00172217238529496	0.994	170	740	0	910	4.34	18.9	0	23.24
chr5	1768631	1768896	chr5.63525	NA	0.00046938128342246	0.994	0	0	0	0	0	0	0	0
chr5	1769855	1770945	chr5.63526	NA	0.00170617897727273	0.994	0	481	0	481	0	44.13	0	44.13
chr5	1771115	1775784	chr5.63527	NA	0.00116073667525773	0.994	0	2730	0	2730	0	58.47	0	58.47
chr5	1776765	1780805	chr5.63528	NA	0.00133262175543886	0.994	0	382	144	526	0	9.46	3.56	13.02
chr5	1782205	1784721	chr5.63529	NA	0.00117798174560937	0.994	0	750	225	975	0	29.81	8.94	38.75
chr5	1785033	1793192	chr5.63530	NA	0.000467475944756412	0.994	88	2762	0	2850	1.08	33.85	0	34.93
chr5	1794506	1794960	chr5.63533	NA	0.00103457555066079	0.994	0	327	0	327	0	72.03	0	72.03
chr5	1795785	1796343	chr5.63541	NA	0.00055609880239521	0.994	0	524	0	524	0	93.91	0	93.91
chr5	1796874	1797918	chr5.63542	NA	0.00157815747126437	0.994	0	57	0	57	0	5.46	0	5.46
chr5	1830606	1835513	chr5.63546	NA	0.00089477986037656	0.994	30	388	124	512	0.61	7.91	2.53	10.43
chr5	1836709	1837074	chr5.63547	NA	0.00204477534246575	0.994	0	0	0	0	0	0	0	0
chr5	1837254	1842871	chr5.63548	NA	0.00265627845671759	0.994	349	481	221	1051	6.21	8.56	3.93	18.71
chr5	1843406	1845659	chr5.63549	NA	0.00266054929424539	0.994	907	1083	0	1287	40.26	48.07	0	57.12
chr5	1845660	1848818	chr5.63550	NA	0.00169760243352862	0.994	1279	975	0	1754	40.5	30.87	0	55.54
chr5	1849343	1851063	chr5.63551	NA	0.00099554234375	0.994	244	104	0	348	14.19	6.05	0	20.23
chr5	1851611	1855780	chr5.63552	NA	0.00189608461774639	0.994	150	1202	78	1280	3.6	28.83	1.87	30.7
chr5	1856682	1857680	chr5.63556	NA	0.00431163811881188	0.994	0	0	0	0	0	0	0	0
chr5	1858734	1859569	chr5.63557	NA	0.00108724175334324	0.994	0	0	0	0	0	0	0	0
