chrom	chromStart	chromEnd	id	st.recomb	st.diversity	st.bkgd	bp.simpleRepeat	bp.rmskRM327	bp.phastConsElements46wayPlacMammal	bp.allSoftRegions	perc.simpleRepeat	perc.rmskRM327	perc.phastConsElements46wayPlacMammal	perc.allSoftRegions
chr9	1023882	1029348	chr9.84673	NA	0.00121330940382452	0.95006531284303	75	2082	63	2147	1.37	38.09	1.15	39.28
chr9	1042520	1044119	chr9.84677	NA	0.00273323008752735	0.955931832395247	0	139	119	258	0	8.69	7.44	16.14
chr9	1044561	1045134	chr9.84678	NA	0.00518319576719577	0.956869109947644	0	129	20	149	0	22.51	3.49	26
chr9	1045621	1046079	chr9.84682	NA	0.00287198915662651	0.950685589519651	0	5	9	14	0	1.09	1.97	3.06
chr9	1046640	1047461	chr9.84684	NA	0.00228395930807249	0.951764920828258	0	387	37	424	0	47.14	4.51	51.64
chr9	1824888	1840112	chr9.84687	NA	0.00176073217563179	0.985266421439832	107	7007	704	7625	0.7	46.03	4.62	50.09
chr9	1840502	1841104	chr9.84688	NA	0.0018862624742268	0.985511627906977	52	498	7	498	8.64	82.72	1.16	82.72
chr9	1841464	1910763	chr9.84689	NA	0.00161815134466137	0.981471493095138	542	41648	2749	44238	0.78	60.1	3.97	63.84
chr9	1911090	1914593	chr9.84690	NA	0.000976102619555285	0.987125606622895	0	1519	196	1715	0	43.36	5.6	48.96
chr9	1915143	1917289	chr9.84691	NA	0.000556429263746505	0.988	33	678	136	847	1.54	31.59	6.34	39.47
chr9	1919156	1958432	chr9.84692	NA	0.00107686784599006	0.973945768408188	941	19927	3418	23075	2.4	50.74	8.7	58.75
chr9	1959001	1993551	chr9.84694	NA	0.00104510809490085	0.965671606367584	145	12870	2875	15415	0.42	37.25	8.32	44.62
chr9	1993721	1994869	chr9.84695	NA	0.00327180036231884	0.954647212543554	34	269	25	328	2.96	23.43	2.18	28.57
chr9	1995038	2000390	chr9.84696	NA	0.00177899161061285	0.950017750373692	34	1619	297	1926	0.64	30.25	5.55	35.99
chr9	2001984	2005589	chr9.84697	NA	0.00108083581408611	0.963322330097087	36	1080	363	1381	1	29.96	10.07	38.31
chr9	2006139	2014278	chr9.84698	NA	0.00102913556747096	0.958989310726133	142	2949	972	3723	1.74	36.23	11.94	45.74
chr9	2195735	2213893	chr9.84706	NA	0.00173788930386896	0.966308844586408	118	11350	334	11627	0.65	62.51	1.84	64.03
chr9	2214217	2239421	chr9.84707	NA	0.00158514860354734	0.975006189493731	46	13384	344	13668	0.18	53.1	1.36	54.23
chr9	2239954	2241082	chr9.84708	NA	0.000850715196078431	0.973519503546099	0	299	32	331	0	26.51	2.84	29.34
chr9	2241568	2247452	chr9.84709	NA	0.00186926096640242	0.972934908225697	27	3693	351	4044	0.46	62.76	5.97	68.73
chr9	2248014	2269228	chr9.84711	NA	0.00152177748051401	0.963536532478552	74	8377	756	9166	0.35	39.49	3.56	43.21
chr9	2269394	2276006	chr9.84713	NA	0.00218614903414971	0.967320477918935	49	1115	311	1426	0.74	16.86	4.7	21.57
chr9	2288332	2291975	chr9.84714	NA	0.0018927377436179	0.973533900631348	35	1037	25	1091	0.96	28.47	0.69	29.95
chr9	2293037	2293895	chr9.84715	NA	0.000362011305361305	0.970588578088578	0	81	0	81	0	9.44	0	9.44
chr9	2294440	2300914	chr9.84718	NA	0.00111452136134454	0.973390485016991	0	2938	293	3161	0	45.38	4.53	48.83
chr9	2389342	2391630	chr9.84719	NA	0.000741226136363636	0.97425	197	1433	9	1463	8.61	62.63	0.39	63.94
chr9	2394645	2415609	chr9.84720	NA	0.00274896879314449	0.974245325319595	43	16137	64	16170	0.21	76.97	0.31	77.13
chr9	2416976	2421580	chr9.84722	NA	0.0017823048179145	0.970637489139878	88	1493	240	1780	1.91	32.43	5.21	38.66
chr9	2876580	2900245	chr9.84744	1.81238295921769	0.00139412363077845	0.960817367420241	189	18022	470	18437	0.8	76.15	1.99	77.91
chr9	2900846	2919098	chr9.84745	5.6744343567233	0.00155918275278604	0.966007506026737	112	8693	622	9057	0.61	47.63	3.41	49.62
chr9	2919305	2921788	chr9.84746	7.45721610958917	0.00103904079742247	0.969209826822392	49	911	49	975	1.97	36.69	1.97	39.27
chr9	2921874	2923190	chr9.84747	7.10270675736749	0.00229599167327518	0.97	34	828	8	830	2.58	62.92	0.61	63.07
chr9	2923272	2924322	chr9.84748	6.08273581309801	0.000899916666666667	0.971742857142857	0	467	0	467	0	44.48	0	44.48
chr9	2924406	2943506	chr9.84749	1.39792460444839	0.00188961815139032	0.975367853403141	51	11031	406	11221	0.27	57.75	2.13	58.75
chr9	3181333	3181588	chr9.84753	20.0767485154426	0.000350602105263158	0.97	0	0	8	8	0	0	3.14	3.14
chr9	3694822	3707608	chr9.84762	0.969892823453559	0.00117166607094746	0.963605036758955	0	4498	1131	5589	0	35.18	8.85	43.71
chr9	3719874	3734565	chr9.84771	3.30236671318718	0.0010764227403469	0.963102920155197	279	7865	425	8280	1.9	53.54	2.89	56.36
chr9	4354937	4368824	chr9.84782	3.01921723876561	0.00139840084960379	0.960398718225679	209	5331	1236	6447	1.51	38.39	8.9	46.42
chr9	4369569	4375823	chr9.84784	6.61626534150277	0.00129399308289688	0.973865046370323	50	2096	98	2215	0.8	33.51	1.57	35.42
chr9	4378505	4393960	chr9.84786	21.4046970902981	0.00170534539818021	0.973536460692333	216	6393	157	6513	1.4	41.37	1.02	42.14
chr9	4458263	4484841	chr9.84790	4.19881366005013	0.00160137682274963	0.970333207916322	591	20199	186	20294	2.22	76	0.7	76.36
chr9	4485500	4487718	chr9.84793	4.39180715426577	0.0026100432996633	0.97	0	1689	0	1689	0	76.15	0	76.15
chr9	4488631	4489006	chr9.84796	53.3301948181917	0	0.964	0	329	0	329	0	87.73	0	87.73
chr9	4489695	4489969	chr9.84800	88.9937967301963	0	0.964	0	0	0	0	0	0	0	0
chr9	7781370	7782835	chr9.84885	96.4088316286518	0.000366765830449827	0.979430034129693	0	438	188	626	0	29.9	12.83	42.73
chr9	7783198	7786102	chr9.84886	120.710081055507	0.00128338444347064	0.980960743801653	0	1422	223	1645	0	48.97	7.68	56.65
chr9	7786688	7791521	chr9.84888	5.88661033282206	0.00215701602941176	0.982	0	4728	0	4728	0	97.83	0	97.83
chr9	7792118	7794135	chr9.84889	8.73743611530833	0.00164756926127913	0.982	0	1458	16	1458	0	72.29	0.79	72.29
chr9	7794839	7796489	chr9.84890	1.38025633285576	0.000667051469668543	0.974699393939394	0	182	101	283	0	11.03	6.12	17.15
chr9	7800166	7823971	chr9.84892	4.99285315762857	0.00116746311850947	0.965630707834488	329	13002	712	13661	1.38	54.62	2.99	57.39
chr9	7834006	7887755	chr9.84894	4.59928290298617	0.000895769168844432	0.951530316843104	545	32832	1930	34661	1.01	61.08	3.59	64.49
chr9	10690654	10705949	chr9.84901	1.21647864061306	0.00123128700714064	0.980291010134031	74	8504	374	8899	0.48	55.6	2.45	58.18
chr9	10747023	10822815	chr9.84905	28.8299236518723	0.0010388140480316	0.982613573991978	1058	55053	1193	56446	1.4	72.64	1.57	74.47
chr9	10834501	10863513	chr9.84908	1.17393722082364	0.00100893512826777	0.986226768233834	331	19767	556	20328	1.14	68.13	1.92	70.07
chr9	10867032	10873758	chr9.84909	183.8411399603	0.00124368680871439	0.99088105857865	0	3774	22	3796	0	56.11	0.33	56.44
chr9	10873965	10896229	chr9.84910	126.942338793373	0.000851492033466715	0.990665468918433	244	11221	532	11745	1.1	50.4	2.39	52.75
chr9	10905831	10908494	chr9.84916	1.69526431859914	0.000967903326488706	0.983851671047691	0	1457	59	1457	0	54.71	2.22	54.71
chr9	10909805	10941889	chr9.84917	1.58967358802917	0.00114075898422735	0.977136797157461	689	12821	1308	14209	2.15	39.96	4.08	44.29
chr9	10942009	10947493	chr9.84918	0.993569715860734	0.00104305937290034	0.987299781181619	64	4775	16	4791	1.17	87.07	0.29	87.36
chr9	11077076	11098232	chr9.84940	2.9359021848107	0.00234538888343959	0.993	298	6854	494	7381	1.41	32.4	2.34	34.89
chr9	11098817	11101954	chr9.84941	14.961629850303	0.00180640994408946	0.993	29	2395	0	2395	0.92	76.35	0	76.35
chr9	11101983	11102263	chr9.84943	15.1985207115255	0.00266554135802469	0.993	0	155	0	155	0	55.36	0	55.36
chr9	11102390	11106325	chr9.84944	3.47104580715264	0.00249234163385827	0.993	0	3663	0	3663	0	93.09	0	93.09
chr9	13508559	13525800	chr9.84950	6.73361362999074	0.00112593482444733	0.963268313902906	90	6285	1394	7637	0.52	36.45	8.09	44.3
chr9	13575952	13610623	chr9.84955	12.3671487604267	0.0018131571095269	0.964758530183727	216	13077	3288	16316	0.62	37.72	9.48	47.06
chr9	13610942	13645933	chr9.84956	0.929333454664496	0.00158899787786921	0.956898573919008	339	23006	1675	24069	0.97	65.75	4.79	68.79
chr9	13798934	13840695	chr9.84974	6.10846577875455	0.0013788881072688	0.96554004932832	89	22651	2155	24588	0.21	54.24	5.16	58.88
chr9	13841138	13883470	chr9.84975	9.07865298817542	0.00180326858917718	0.950874114145326	387	20003	2664	22541	0.91	47.25	6.29	53.25
chr9	14022236	14025969	chr9.84984	22.0161005564122	0.00106214180206795	0.955985534422716	59	1978	108	2062	1.58	52.99	2.89	55.24
chr9	14026075	14026941	chr9.84985	26.5318417643423	0.00169409318706697	0.955256351039261	0	535	0	535	0	61.78	0	61.78
chr9	23419758	23454780	chr9.85071	9.86094686179439	0.00116113014544457	0.955320569927475	903	15672	2957	18343	2.58	44.75	8.44	52.38
chr9	24600894	24692178	chr9.85090	5.40658106473551	0.00102827852778931	0.959030290083695	475	52463	3729	56066	0.52	57.47	4.09	61.42
chr9	24692592	24797910	chr9.85091	3.58932071687453	0.000935162094322099	0.98123749026757	2011	51831	2822	54820	1.91	49.21	2.68	52.05
chr9	24798168	24827223	chr9.85092	1.46216484481732	0.00108492261144131	0.965154672173464	176	11604	1634	12900	0.61	39.94	5.62	44.4
chr9	24827478	24884951	chr9.85093	6.9077342746375	0.0013221476669539	0.977946322621056	829	30726	1510	32368	1.44	53.46	2.63	56.32
chr9	25003607	25026027	chr9.85098	3.58797905902714	0.000923147432100321	0.98795044603033	485	16891	24	16918	2.16	75.34	0.11	75.46
chr9	25412547	25442501	chr9.85109	1.86383429214234	0.00184000845670091	0.969620417974227	260	21965	1099	22940	0.87	73.33	3.67	76.58
chr9	25442978	25445240	chr9.85112	1.60430730578365	0.000667311328976035	0.967097259062776	271	728	275	1003	11.98	32.18	12.16	44.34
chr9	25460832	25516494	chr9.85116	4.44427705180188	0.00110597846751181	0.983209496604505	746	33916	810	34963	1.34	60.93	1.46	62.81
chr9	25542762	25562453	chr9.85121	7.64908019547984	0.00170376845856013	0.979986389721193	173	8652	1184	9858	0.88	43.94	6.01	50.06
chr9	25599995	25611412	chr9.85122	4.29152377816406	0.00119877191271118	0.976003153192608	53	5488	652	6140	0.46	48.07	5.71	53.78
chr9	25611616	25627875	chr9.85123	13.114181158923	0.00125194081206717	0.9844393874162	354	8122	750	8986	2.18	49.95	4.61	55.27
chr9	25628096	25667988	chr9.85124	4.0438223143759	0.00168890723964832	0.98559859119623	342	18026	1898	20042	0.86	45.19	4.76	50.24
chr9	25682644	25693217	chr9.85125	7.35580471312453	0.00120372395363812	0.986527097323371	223	6253	387	6649	2.11	59.14	3.66	62.89
chr9	25724737	25776079	chr9.85128	15.2531269879127	0.00099520169901117	0.968381675820965	630	31098	2232	33340	1.23	60.57	4.35	64.94
chr9	25812968	25838280	chr9.85130	7.5319693342572	0.00138280136538743	0.969744231984829	113	17131	724	17832	0.45	67.68	2.86	70.45
chr9	25838938	25844799	chr9.85132	1.74864156803784	0.00121246400970369	0.960726667804129	34	1338	309	1681	0.58	22.83	5.27	28.68
chr9	25845190	25850787	chr9.85134	1.46531128209418	0.000492704342522566	0.955349830266214	0	4059	161	4098	0	72.52	2.88	73.22
chr9	26146011	26163128	chr9.85143	1.62251509656703	0.000592607196849393	0.953922591575627	92	5190	393	5581	0.54	30.32	2.3	32.61
chr9	27623632	27629208	chr9.85216	90.3607896685504	0.0010274472142993	0.957835903873745	61	2559	219	2654	1.09	45.89	3.93	47.6
chr9	27629334	27643781	chr9.85217	200.406439339195	0.00100181641301496	0.963480099674673	290	10611	91	10720	2.01	73.45	0.63	74.2
chr9	27710362	27725384	chr9.85223	112.23485034335	0.000781679244387166	0.958142590866729	223	4157	306	4619	1.48	27.67	2.04	30.75
chr9	27725896	27749859	chr9.85224	2.33032201094677	0.000824657036311176	0.955692901556566	237	13981	2056	15995	0.99	58.34	8.58	66.75
chr9	31393344	31407587	chr9.85250	2.96827174730257	0.000949143316308559	0.954693674085516	41	8748	328	8929	0.29	61.42	2.3	62.69
chr9	31835607	31868611	chr9.85256	12.7286015428315	0.00171178165029614	0.951008332323355	457	20053	164	20251	1.38	60.76	0.5	61.36
chr9	38325282	38335474	chr9.85639	3.27683834751137	0.00133998837124879	0.950576236263736	178	6589	210	6723	1.75	64.65	2.06	65.96
chr9	76710864	76723897	chr9.85885	2.00093997861261	0.000407861870982044	0.953995473030001	0	7875	182	8040	0	60.42	1.4	61.69
chr9	76787340	76789672	chr9.85891	1.59932084116483	0.000786203224400871	0.951	0	503	21	524	0	21.57	0.9	22.47
chr9	77998766	78004334	chr9.85959	1.25138936517431	0.00120846737533823	0.956838002873563	0	3357	43	3400	0	60.29	0.77	61.06
chr9	78118540	78133860	chr9.85965	1.34656039244916	0.00126267303467586	0.968914164490862	63	9872	118	10027	0.41	64.44	0.77	65.45
chr9	78215375	78216709	chr9.85974	0.946628301829773	0.00100369463601533	0.974302848575712	0	1262	17	1262	0	94.6	1.27	94.6
chr9	78243963	78285795	chr9.85983	5.17445902857477	0.00132911521745446	0.968226740294512	188	22876	1103	23889	0.45	54.69	2.64	57.11
chr9	78336580	78338370	chr9.85985	3.34925190207871	0.000861005813953488	0.953335754189944	49	969	19	978	2.74	54.13	1.06	54.64
chr9	78417787	78502652	chr9.85988	6.14272615535995	0.0008184435674725	0.961251493548577	835	47007	2572	49353	0.98	55.39	3.03	58.15
chr9	78503210	78504459	chr9.85989	11.4879255390247	0.00166658890977444	0.968764611689351	80	827	5	832	6.41	66.21	0.4	66.61
chr9	81149679	81158162	chr9.86099	4.29218397864886	0.000477726286422815	0.955341388659672	30	3340	1033	4382	0.35	39.37	12.18	51.66
chr9	81158826	81165736	chr9.86102	9.34269149946166	0.00124983049011178	0.966148191027496	88	2748	309	3057	1.27	39.77	4.47	44.24
chr9	81172875	81220430	chr9.86105	2.21931256084759	0.000760917191272052	0.950952307854064	289	20326	3853	23855	0.61	42.74	8.1	50.16
chr9	81223930	81278206	chr9.86111	1.26111557866986	0.000674898541808533	0.953404432898518	309	29406	3888	33149	0.57	54.18	7.16	61.07
chr9	81359720	81376660	chr9.86120	4.48256431929051	0.00181073447399162	0.963887426210154	26	11244	547	11762	0.15	66.38	3.23	69.43
chr9	81377043	81381055	chr9.86123	1.32924855158536	0.000503899015855659	0.97780333998006	42	1338	392	1730	1.05	33.35	9.77	43.12
chr9	81381133	81402318	chr9.86124	3.31813736065499	0.00121668019066734	0.953418739674298	0	8245	1784	9948	0	38.92	8.42	46.96
chr9	81421032	81425802	chr9.86128	51.9352674859927	0.000821713999539489	0.978114465408805	29	2201	281	2511	0.61	46.14	5.89	52.64
chr9	81425855	81428876	chr9.86130	27.174503696946	0.00114510054054054	0.977062562065541	0	316	1029	1289	0	10.46	34.06	42.67
chr9	81526295	81537187	chr9.86138	0.98868166737636	0.00254318256611166	0.971235493940507	376	8355	19	8375	3.45	76.71	0.17	76.89
chr9	81554833	81595354	chr9.86142	2.51096659910006	0.00121047746077879	0.966926063029046	511	18800	2419	21135	1.26	46.4	5.97	52.16
chr9	81596026	81647309	chr9.86143	3.59940259053829	0.000784155443857557	0.964081469492814	762	22979	3635	26566	1.49	44.81	7.09	51.8
chr9	81673434	81686971	chr9.86147	1.47656717240345	0.000848658164423544	0.961496786584915	0	5656	786	6357	0	41.78	5.81	46.96
chr9	81687114	81725165	chr9.86148	2.12478985920163	0.0010399801408717	0.975099471761583	393	28822	596	29341	1.03	75.75	1.57	77.11
chr9	81739537	81739896	chr9.86150	2.32018437749071	0.00147571309192201	0.971320334261839	0	0	0	0	0	0	0	0
chr9	81760581	81779910	chr9.86152	3.00005600890143	0.000704747658480868	0.971232862538155	117	6758	821	7524	0.61	34.96	4.25	38.93
chr9	81813242	81830729	chr9.86158	1.87852324575298	0.000531233842967656	0.952747355178132	148	4826	1639	6456	0.85	27.6	9.37	36.92
chr9	81831189	81872134	chr9.86159	10.4529400323524	0.000650454191273196	0.964683184760044	504	17177	3289	20386	1.23	41.95	8.03	49.79
chr9	81872767	81877364	chr9.86160	88.9086877877436	0.000926227335717479	0.97422732216663	0	1786	390	2172	0	38.85	8.48	47.25
chr9	82674131	82701147	chr9.86187	2.16163956966323	0.000609912993908462	0.955914310038496	184	10956	2870	13683	0.68	40.55	10.62	50.65
chr9	83180879	83222953	chr9.86210	83.0863961673549	0.00168730805747545	0.955769596425345	414	22226	2530	24590	0.98	52.83	6.01	58.44
chr9	85417367	85436180	chr9.86232	6.96947693912197	0.00151859853851554	0.974705097538936	102	8229	730	8959	0.54	43.74	3.88	47.62
chr9	89382774	89400196	chr9.86314	1.76051991720816	0.00169682150436535	0.968894042015842	103	8665	667	9101	0.59	49.74	3.83	52.24
chr9	89400667	89422630	chr9.86315	11.5041773608006	0.00131045885799404	0.959035741929609	872	7308	1106	8542	3.97	33.27	5.04	38.89
chr9	89423285	89425607	chr9.86316	7.62575209457717	0.000976358229166667	0.972506890611542	0	875	11	886	0	37.68	0.47	38.16
chr9	89426154	89447999	chr9.86317	3.58668384914452	0.00131555953372613	0.974943053330282	106	10671	119	10768	0.49	48.85	0.54	49.29
chr9	89474947	89524715	chr9.86320	2.46105760018663	0.00100279658912181	0.955402266516637	595	18541	2408	20994	1.2	37.25	4.84	42.18
chr9	89657266	89675998	chr9.86330	2.52662594022848	0.00155569324727971	0.957522261370916	63	16363	259	16474	0.34	87.35	1.38	87.95
chr9	89923420	89937801	chr9.86346	1.39575396998262	0.00115971913317093	0.973811000625826	200	8479	216	8787	1.39	58.96	1.5	61.1
chr9	89944966	89945480	chr9.86349	25.4252067173659	0.000474691245136187	0.975	0	410	0	410	0	79.77	0	79.77
chr9	89946578	89947106	chr9.86350	75.7472234354776	0.000687715909090909	0.975	0	499	0	499	0	94.51	0	94.51
chr9	89947578	89950544	chr9.86351	144.718536034298	0.000640377612540193	0.975	0	1291	0	1291	0	43.53	0	43.53
chr9	89951323	89951565	chr9.86352	134.944148271514	0.00108163595041322	0.975	0	162	0	162	0	66.94	0	66.94
