chrom	chromStart	chromEnd	id	st.recomb	st.diversity	st.bkgd	bp.simpleRepeat	bp.rmskRM327	bp.phastConsElements46wayPlacMammal	bp.allSoftRegions	perc.simpleRepeat	perc.rmskRM327	perc.phastConsElements46wayPlacMammal	perc.allSoftRegions
chr7	305551	306696	chr7.76006	NA	0.00131631632124352	-1	244	74	0	280	21.31	6.46	0	24.45
chr7	307061	307424	chr7.76010	NA	0.00288715086705202	-1	0	0	0	0	0	0	0	0
chr7	308557	309488	chr7.76011	NA	0.000883323305084746	-1	399	256	0	485	42.86	27.5	0	52.09
chr7	309614	318237	chr7.76015	NA	0.00165416524100475	-1	967	6490	0	7115	11.21	75.26	0	82.51
chr7	319056	320539	chr7.76016	NA	0.00165811631827377	-1	0	944	0	944	0	63.65	0	63.65
chr7	320788	330135	chr7.76017	NA	0.00188898661476645	-1	730	3808	67	4287	7.81	40.74	0.72	45.86
chr7	334388	336744	chr7.76018	NA	0.00246848017621145	-1	0	373	0	373	0	15.83	0	15.83
chr7	337409	338232	chr7.76020	NA	0.00303149358178054	-1	0	0	0	0	0	0	0	0
chr7	338627	340415	chr7.76021	NA	0.00178575356942102	-1	0	0	24	24	0	0	1.34	1.34
chr7	340715	343626	chr7.76027	NA	0.00181686608790016	-1	239	1283	0	1284	8.21	44.07	0	44.11
chr7	343716	361529	chr7.76028	NA	0.00181362904141495	-1	1344	10986	100	11527	7.55	61.67	0.56	64.71
chr7	361934	370921	chr7.76032	NA	0.000589332978244561	-1	63	4582	89	4700	0.7	50.98	0.99	52.3
chr7	372176	372681	chr7.76033	NA	0	-1	0	0	0	0	0	0	0	0
chr7	373169	373693	chr7.76035	NA	0	-1	0	28	246	274	0	5.34	46.95	52.29
chr7	374069	376248	chr7.76042	NA	0	-1	883	1053	0	1132	40.52	48.32	0	51.95
chr7	377010	377656	chr7.76043	NA	0.000308959134615385	-1	99	57	0	156	15.33	8.82	0	24.15
chr7	382060	383601	chr7.76050	NA	0.000865086204620462	-1	45	0	192	237	2.92	0	12.46	15.38
chr7	384183	388807	chr7.76051	NA	0.00226634350824588	-1	541	1070	0	1611	11.7	23.14	0	34.84
chr7	389721	390152	chr7.76054	NA	0.00028409125	-1	158	119	0	158	36.66	27.61	0	36.66
chr7	391391	393070	chr7.76063	NA	0.00099528443877551	-1	31	217	0	248	1.85	12.92	0	14.77
chr7	393370	410658	chr7.76064	NA	0.00194224542498022	-1	1806	7585	186	8383	10.45	43.87	1.08	48.49
chr7	411197	419195	chr7.76066	NA	0.00263504100473006	-1	305	1257	89	1572	3.81	15.72	1.11	19.65
chr7	422845	442566	chr7.76067	NA	0.0011275342249047	-1	717	11669	22	11989	3.64	59.17	0.11	60.79
chr7	499623	502868	chr7.76068	NA	0.00155997063797079	-1	47	442	172	661	1.45	13.62	5.3	20.37
chr7	503915	515181	chr7.76069	NA	0.00139823686781156	-1	2944	5473	166	6384	26.13	48.58	1.47	56.67
chr7	515778	522596	chr7.76070	NA	0.00116801395282751	0.978504546787914	1616	3116	91	3263	23.7	45.7	1.33	47.86
chr7	564870	567215	chr7.76074	NA	0.00143187147869674	0.982	0	765	0	765	0	32.62	0	32.62
chr7	567590	568924	chr7.76075	NA	0.000643281623277182	0.982	750	1132	0	1179	56.22	84.86	0	88.38
chr7	569632	571208	chr7.76079	NA	0.00115329003215434	0.982	110	574	0	613	6.98	36.42	0	38.9
chr7	571468	573031	chr7.76080	NA	0.00331881728395062	0.982	79	255	0	258	5.05	16.31	0	16.51
chr7	573546	573961	chr7.76081	NA	0.000608973770491803	0.982	66	214	0	214	15.9	51.57	0	51.57
chr7	574435	576050	chr7.76084	NA	0.0013693486562942	0.982	0	976	0	976	0	60.43	0	60.43
chr7	576843	581340	chr7.76085	NA	0.00277596001296176	0.982	319	910	38	1194	7.09	20.24	0.85	26.55
chr7	582611	582951	chr7.76092	NA	0.00494749050847458	0.982	0	0	15	15	0	0	4.41	4.41
chr7	585204	588824	chr7.76093	NA	0.00180953546544832	0.982	214	2950	0	3130	5.91	81.49	0	86.46
chr7	1689947	1703806	chr7.76100	NA	0.000946379245696743	0.958614330038242	301	8260	87	8263	2.17	59.6	0.63	59.62
chr7	1710491	1717762	chr7.76101	NA	0.00094149362489487	0.964	296	1029	179	1466	4.07	14.15	2.46	20.16
chr7	1718199	1729973	chr7.76104	NA	0.000391184457882453	0.964	550	8120	0	8188	4.67	68.97	0	69.54
chr7	1730596	1731541	chr7.76119	NA	4.81001058201058e-05	0.964	0	341	64	405	0	36.08	6.77	42.86
chr7	1732086	1732445	chr7.76120	NA	0	0.964	0	76	0	76	0	21.17	0	21.17
chr7	1733961	1734858	chr7.76121	NA	0.00143022965440357	0.964	0	0	107	107	0	0	11.93	11.93
chr7	1735383	1743339	chr7.76122	NA	0.000696696825669183	0.963901709401709	270	5814	299	5987	3.39	73.08	3.76	75.25
chr7	1743557	1748723	chr7.76123	NA	0.00115456902455508	0.963	119	999	371	1404	2.3	19.34	7.18	27.18
chr7	1787590	1797655	chr7.76124	NA	0.00153934858471761	0.953622652757079	304	5523	72	5589	3.02	54.87	0.72	55.53
chr7	2910420	2913750	chr7.76182	3.83426145870958	0.00121980760330579	0.958	123	1116	0	1204	3.69	33.51	0	36.16
chr7	2914070	2916850	chr7.76183	2.22664175764335	0.00083288909863143	0.958	0	1514	144	1658	0	54.46	5.18	59.64
chr7	2917084	2935313	chr7.76184	79.8894171662023	0.00138160755950557	0.966472543748972	225	9846	306	10227	1.23	54.01	1.68	56.1
chr7	2935777	2944473	chr7.76185	182.032213323894	0.00155256117781589	0.97	75	4684	31	4706	0.86	53.86	0.36	54.12
chr7	3083606	3088949	chr7.76187	4.36149930009212	0.00142010829155418	0.988	111	3609	34	3690	2.08	67.55	0.64	69.06
chr7	3089311	3090714	chr7.76188	15.7592042879224	0.000532300705882353	0.988	447	1000	0	1045	31.86	71.28	0	74.48
