chrom	chromStart	chromEnd	id	st.recomb	st.diversity	st.bkgd	bp.simpleRepeat	bp.rmskRM327	bp.phastConsElements46wayPlacMammal	bp.allSoftRegions	perc.simpleRepeat	perc.rmskRM327	perc.phastConsElements46wayPlacMammal	perc.allSoftRegions
chr6	780214	780440	chr6.69828	NA	0	0.952	45	226	0	226	19.91	100	0	100
chr6	781077	786063	chr6.69829	NA	0.000838990333842461	0.960453670276775	25	2581	0	2606	0.5	51.76	0	52.27
chr6	786175	791403	chr6.69830	NA	0.00206996097496004	0.967054896710023	165	1374	19	1466	3.16	26.28	0.36	28.04
chr6	791984	796484	chr6.69833	NA	0.00246448586810229	0.967886666666667	0	117	45	162	0	2.6	1	3.6
chr6	796619	800722	chr6.69836	NA	0.00213569058823529	0.970469656349013	26	701	192	884	0.63	17.09	4.68	21.55
chr6	801084	806573	chr6.69837	NA	0.0019140710125448	0.973405538349426	245	1952	81	2032	4.46	35.56	1.48	37.02
chr6	806997	809522	chr6.69838	NA	0.0012338659652333	0.970133069306931	61	469	134	633	2.42	18.57	5.31	25.07
chr6	809978	811727	chr6.69839	NA	0.000127554659805603	0.970229273870783	0	185	7	192	0	10.58	0.4	10.98
chr6	811838	828226	chr6.69843	NA	0.000736609309912171	0.976537100317305	436	8783	188	9182	2.66	53.59	1.15	56.03
chr6	839252	840276	chr6.69844	NA	4.73979144942649e-05	0.982	0	799	0	799	0	78.03	0	78.03
chr6	840725	841313	chr6.69847	NA	0.000617540816326531	0.98762074829932	0	0	0	0	0	0	0	0
chr6	841958	846887	chr6.69848	NA	0.000517484069767442	0.984170217082573	179	1789	202	2021	3.63	36.3	4.1	41
chr6	876771	877793	chr6.69849	NA	0.00162695567514677	0.976394324853229	0	0	0	0	0	0	0	0
chr6	879161	880233	chr6.69850	NA	0.00181254756703078	0.981623134328358	0	838	0	838	0	78.17	0	78.17
chr6	903764	905471	chr6.69851	NA	0.00249147489504618	0.978806678383128	656	1138	0	1187	38.43	66.67	0	69.54
chr6	911131	919581	chr6.69852	NA	0.00216540842362277	0.984628047337278	171	3216	26	3242	2.02	38.06	0.31	38.37
chr6	920180	941052	chr6.69853	NA	0.0008983638452237	0.985308786891529	782	12174	245	12625	3.75	58.33	1.17	60.49
chr6	941471	951384	chr6.69855	NA	0.000363154496057959	0.985374558660345	106	4889	11	4972	1.07	49.32	0.11	50.16
chr6	1249050	1250969	chr6.69856	NA	0.0014751373015873	0.993	0	1611	0	1611	0	83.95	0	83.95
chr6	1251623	1257466	chr6.69858	NA	0.0010575798820179	0.992537395173712	0	1300	150	1450	0	22.25	2.57	24.82
chr6	1260892	1270716	chr6.69859	NA	0.000961656184210526	0.99254957247557	307	4390	123	4754	3.12	44.69	1.25	48.39
chr6	1270996	1285171	chr6.69860	NA	0.00173979935678859	0.992477389770723	93	6047	76	6216	0.66	42.66	0.54	43.85
chr6	1285722	1295477	chr6.69861	NA	0.000855177694733154	0.987630240902101	343	3824	84	3897	3.52	39.2	0.86	39.95
chr6	1295931	1300819	chr6.69862	NA	0.000889973839383939	0.988	35	3061	63	3159	0.72	62.62	1.29	64.63
chr6	1301019	1304106	chr6.69863	NA	0.00079506896373057	0.988	0	2383	26	2409	0	77.19	0.84	78.04
chr6	1304236	1308069	chr6.69864	NA	0.00123310412580318	0.980510305243934	96	2206	0	2206	2.5	57.55	0	57.55
chr6	1324257	1332377	chr6.69865	NA	0.000899312639917341	0.959921305418719	0	3888	239	4127	0	47.88	2.94	50.83
chr6	1332535	1357668	chr6.69868	NA	0.00117765943900989	0.976444674332551	561	16388	499	16612	2.23	65.21	1.99	66.1
chr6	1359491	1381596	chr6.69869	NA	0.000791715169188735	0.980579642614793	35	9847	617	10427	0.16	44.55	2.79	47.17
chr6	1385299	1388236	chr6.69870	NA	0.000590820256318975	0.972051753489956	35	263	487	750	1.19	8.95	16.58	25.54
chr6	1388467	1388953	chr6.69871	NA	4.77464285714286e-05	0.968148148148148	18	18	80	98	3.7	3.7	16.46	20.16
chr6	1395838	1441472	chr6.69875	NA	0.000908025085313244	0.978113950124907	1449	23097	848	24037	3.18	50.61	1.86	52.67
chr6	1441860	1459110	chr6.69877	NA	0.00200748097047415	0.987505043478261	407	14391	184	14556	2.36	83.43	1.07	84.38
chr6	1473956	1477822	chr6.69878	NA	0.000642844211216792	0.987783755819969	0	2546	23	2569	0	65.86	0.59	66.45
chr6	1479242	1486292	chr6.69879	NA	0.000765397363569322	0.987884255319149	291	4163	89	4252	4.13	59.05	1.26	60.31
chr6	1486764	1490480	chr6.69880	NA	0.00120049524111675	0.985979278794403	0	1850	41	1891	0	49.78	1.1	50.89
chr6	1490878	1492795	chr6.69881	NA	0.000827579048765804	0.983677621283255	83	529	5	548	4.33	27.6	0.26	28.59
chr6	1493126	1496343	chr6.69883	NA	0.00104788612063057	0.987	26	1101	33	1116	0.81	34.22	1.03	34.69
chr6	1519556	1528598	chr6.69884	NA	0.00118223118307997	0.987009732360097	0	4071	105	4176	0	45.02	1.16	46.18
