chrom	chromStart	chromEnd	id	st.recomb	st.diversity	st.bkgd	bp.simpleRepeat	bp.rmskRM327	bp.phastConsElements46wayPlacMammal	bp.allSoftRegions	perc.simpleRepeat	perc.rmskRM327	perc.phastConsElements46wayPlacMammal	perc.allSoftRegions
chr4	1478646	1489940	chr4.57275	NA	0.00114262320477307	-1	0	7344	203	7547	0	65.03	1.8	66.82
chr4	1490613	1494916	chr4.57276	NA	0.000572270801775921	-1	105	194	395	694	2.44	4.51	9.18	16.13
chr4	10900098	10905662	chr4.57329	28.0422795844288	0.00163703301573233	0.971247663551402	138	2733	168	2900	2.48	49.12	3.02	52.12
chr4	10905873	10907737	chr4.57330	10.3734532332247	0.00176392111388196	0.973075643776824	0	1839	0	1839	0	98.66	0	98.66
chr4	10936545	10947633	chr4.57333	2.82406167902251	0.00128920879587156	0.979219877344877	191	5547	110	5641	1.72	50.03	0.99	50.87
chr4	10947813	10959645	chr4.57334	6.50681290532227	0.00182331063722525	0.980692359702502	455	7131	134	7295	3.85	60.27	1.13	61.65
chr4	10973365	11020556	chr4.57344	2.45622045775429	0.00149238246814889	0.970856349727702	814	23503	792	24562	1.72	49.8	1.68	52.05
chr4	11020978	11023762	chr4.57345	5.36104404406816	0.00119347007902299	0.968424209770115	0	868	110	978	0	31.18	3.95	35.13
chr4	11024042	11030828	chr4.57346	4.72253257585724	0.00090277270564242	0.970234453286178	38	2721	78	2799	0.56	40.1	1.15	41.25
chr4	11030910	11040822	chr4.57349	5.10457960153277	0.000630074304342764	0.979178672316384	312	4044	7	4110	3.15	40.8	0.07	41.46
chr4	11043361	11055580	chr4.57350	2.87092151763522	0.00151766778287462	0.981557983468369	143	7680	48	7780	1.17	62.85	0.39	63.67
chr4	11180006	11186793	chr4.57365	3.24188461582274	0.000987214729426833	0.970824370119346	47	3598	0	3598	0.69	53.01	0	53.01
chr4	11187021	11198048	chr4.57366	6.53905212189415	0.00135048738303342	0.9749493062483	324	4561	246	4860	2.94	41.36	2.23	44.07
chr4	11278929	11279512	chr4.57378	1.68209502982709	0.00083468578313253	0.968713550600343	0	34	0	34	0	5.83	0	5.83
chr4	11440140	11441468	chr4.57398	2.08334269221534	0.000927377156862745	0.961	0	1184	0	1184	0	89.16	0	89.16
chr4	11491956	11517303	chr4.57416	2.43691160833566	0.0020344066528167	0.965049788929656	255	14166	1039	15187	1.01	55.89	4.1	59.92
chr4	11530582	11565606	chr4.57420	4.28319889375583	0.00130878130423899	0.985300879396985	300	22165	180	22387	0.86	63.29	0.51	63.92
chr4	11921312	11985169	chr4.57423	1.38683819819796	0.00139569192204463	0.981498003351238	1153	41981	576	42986	1.81	65.74	0.9	67.32
chr4	12169947	12188942	chr4.57427	4.57866633704504	0.00114536122969287	0.973746038431166	234	8678	369	9043	1.23	45.69	1.94	47.61
chr4	12189537	12225074	chr4.57428	1.10483608530474	0.000849053058890795	0.984326167093451	219	20001	736	20737	0.62	56.28	2.07	58.35
chr4	12303250	12326816	chr4.57434	5.42933487252868	0.00101036052716021	0.978083976915896	220	13214	525	13770	0.93	56.07	2.23	58.43
chr4	12880174	12887803	chr4.57448	1.56583623510311	0.0007701179949352	0.965742168042994	315	3226	775	4001	4.13	42.29	10.16	52.44
chr4	12888039	12888720	chr4.57449	2.41700800109407	0.0026038	0.977722466960352	0	474	0	474	0	69.6	0	69.6
