chr	start	end	length	rec	bgs
chr9	1023882	1029348	5466	0.950065312843	2082.0
chr9	1042520	1044119	1599	0.955931832395	139.0
chr9	1044561	1045134	573	0.956869109948	129.0
chr9	1045621	1046079	458	0.95068558952	5.0
chr9	1046640	1047461	821	0.951764920828	387.0
chr9	1824888	1840112	15224	0.98526642144	7007.0
chr9	1840502	1841104	602	0.985511627907	498.0
chr9	1841464	1910763	69299	0.981471493095	41648.0
chr9	1911090	1914593	3503	0.987125606623	1519.0
chr9	1915143	1917289	2146	0.988	678.0
chr9	1919156	1958432	39276	0.973945768408	19927.0
chr9	1959001	1993551	34550	0.965671606368	12870.0
chr9	1993721	1994869	1148	0.954647212544	269.0
chr9	1995038	2000390	5352	0.950017750374	1619.0
chr9	2001984	2005589	3605	0.963322330097	1080.0
chr9	2006139	2014278	8139	0.958989310726	2949.0
chr9	2195735	2213893	18158	0.966308844586	11350.0
chr9	2214217	2239421	25204	0.975006189494	13384.0
chr9	2239954	2241082	1128	0.973519503546	299.0
chr9	2241568	2247452	5884	0.972934908226	3693.0
chr9	2248014	2269228	21214	0.963536532479	8377.0
chr9	2269394	2276006	6612	0.967320477919	1115.0
chr9	2288332	2291975	3643	0.973533900631	1037.0
chr9	2293037	2293895	858	0.970588578089	81.0
chr9	2294440	2300914	6474	0.973390485017	2938.0
chr9	2389342	2391630	2288	0.97425	1433.0
chr9	2394645	2415609	20964	0.97424532532	16137.0
chr9	2416976	2421580	4604	0.97063748914	1493.0
chr9	2876580	2900245	23665	0.96081736742	18022.0
chr9	2900846	2919098	18252	0.966007506027	8693.0
chr9	2919305	2921788	2483	0.969209826822	911.0
chr9	2921874	2923190	1316	0.97	828.0
chr9	2923272	2924322	1050	0.971742857143	467.0
chr9	2924406	2943506	19100	0.975367853403	11031.0
chr9	3181333	3181588	255	0.97	0.0
chr9	3694822	3707608	12786	0.963605036759	4498.0
chr9	3719874	3734565	14691	0.963102920155	7865.0
chr9	4354937	4368824	13887	0.960398718226	5331.0
chr9	4369569	4375823	6254	0.97386504637	2096.0
chr9	4378505	4393960	15455	0.973536460692	6393.0
chr9	4458263	4484841	26578	0.970333207916	20199.0
chr9	4485500	4487718	2218	0.97	1689.0
chr9	4488631	4489006	375	0.964	329.0
chr9	4489695	4489969	274	0.964	0.0
chr9	7781370	7782835	1465	0.97943003413	438.0
chr9	7783198	7786102	2904	0.980960743802	1422.0
chr9	7786688	7791521	4833	0.982	4728.0
chr9	7792118	7794135	2017	0.982	1458.0
chr9	7794839	7796489	1650	0.974699393939	182.0
chr9	7800166	7823971	23805	0.965630707834	13002.0
chr9	7834006	7887755	53749	0.951530316843	32832.0
chr9	10690654	10705949	15295	0.980291010134	8504.0
chr9	10747023	10822815	75792	0.982613573992	55053.0
chr9	10834501	10863513	29012	0.986226768234	19767.0
chr9	10867032	10873758	6726	0.990881058579	3774.0
chr9	10873965	10896229	22264	0.990665468918	11221.0
chr9	10905831	10908494	2663	0.983851671048	1457.0
chr9	10909805	10941889	32084	0.977136797157	12821.0
chr9	10942009	10947493	5484	0.987299781182	4775.0
chr9	11077076	11098232	21156	0.993	6854.0
chr9	11098817	11101954	3137	0.993	2395.0
chr9	11101983	11102263	280	0.993	155.0
chr9	11102390	11106325	3935	0.993	3663.0
chr9	13508559	13525800	17241	0.963268313903	6285.0
chr9	13575952	13610623	34671	0.964758530184	13077.0
chr9	13610942	13645933	34991	0.956898573919	23006.0
chr9	13798934	13840695	41761	0.965540049328	22651.0
chr9	13841138	13883470	42332	0.950874114145	20003.0
chr9	14022236	14025969	3733	0.955985534423	1978.0
chr9	14026075	14026941	866	0.955256351039	535.0
chr9	23419758	23454780	35022	0.955320569927	15672.0
chr9	24600894	24692178	91284	0.959030290084	52463.0
chr9	24692592	24797910	105318	0.981237490268	51831.0
chr9	24798168	24827223	29055	0.965154672173	11604.0
chr9	24827478	24884951	57473	0.977946322621	30726.0
chr9	25003607	25026027	22420	0.98795044603	16891.0
chr9	25412547	25442501	29954	0.969620417974	21965.0
chr9	25442978	25445240	2262	0.967097259063	728.0
chr9	25460832	25516494	55662	0.983209496605	33916.0
chr9	25542762	25562453	19691	0.979986389721	8652.0
chr9	25599995	25611412	11417	0.976003153193	5488.0
chr9	25611616	25627875	16259	0.984439387416	8122.0
chr9	25628096	25667988	39892	0.985598591196	18026.0
chr9	25682644	25693217	10573	0.986527097323	6253.0
chr9	25724737	25776079	51342	0.968381675821	31098.0
chr9	25812968	25838280	25312	0.969744231985	17131.0
chr9	25838938	25844799	5861	0.960726667804	1338.0
chr9	25845190	25850787	5597	0.955349830266	4059.0
chr9	26146011	26163128	17117	0.953922591576	5190.0
chr9	27623632	27629208	5576	0.957835903874	2559.0
chr9	27629334	27643781	14447	0.963480099675	10611.0
chr9	27710362	27725384	15022	0.958142590867	4157.0
chr9	27725896	27749859	23963	0.955692901557	13981.0
chr9	31393344	31407587	14243	0.954693674086	8748.0
chr9	31835607	31868611	33004	0.951008332323	20053.0
chr9	38325282	38335474	10192	0.950576236264	6589.0
chr9	76710864	76723897	13033	0.95399547303	7875.0
chr9	76787340	76789672	2332	0.951	503.0
chr9	77998766	78004334	5568	0.956838002874	3357.0
chr9	78118540	78133860	15320	0.968914164491	9872.0
chr9	78215375	78216709	1334	0.974302848576	1262.0
chr9	78243963	78285795	41832	0.968226740295	22876.0
chr9	78336580	78338370	1790	0.95333575419	969.0
chr9	78417787	78502652	84865	0.961251493549	47007.0
chr9	78503210	78504459	1249	0.968764611689	827.0
chr9	81149679	81158162	8483	0.95534138866	3340.0
chr9	81158826	81165736	6910	0.966148191027	2748.0
chr9	81172875	81220430	47555	0.950952307854	20326.0
chr9	81223930	81278206	54276	0.953404432899	29406.0
chr9	81359720	81376660	16940	0.96388742621	11244.0
chr9	81377043	81381055	4012	0.97780333998	1338.0
chr9	81381133	81402318	21185	0.953418739674	8245.0
chr9	81421032	81425802	4770	0.978114465409	2201.0
chr9	81425855	81428876	3021	0.977062562066	316.0
chr9	81526295	81537187	10892	0.971235493941	8355.0
chr9	81554833	81595354	40521	0.966926063029	18800.0
chr9	81596026	81647309	51283	0.964081469493	22979.0
chr9	81673434	81686971	13537	0.961496786585	5656.0
chr9	81687114	81725165	38051	0.975099471762	28822.0
chr9	81739537	81739896	359	0.971320334262	0.0
chr9	81760581	81779910	19329	0.971232862538	6758.0
chr9	81813242	81830729	17487	0.952747355178	4826.0
chr9	81831189	81872134	40945	0.96468318476	17177.0
chr9	81872767	81877364	4597	0.974227322167	1786.0
chr9	82674131	82701147	27016	0.955914310038	10956.0
chr9	83180879	83222953	42074	0.955769596425	22226.0
chr9	85417367	85436180	18813	0.974705097539	8229.0
chr9	89382774	89400196	17422	0.968894042016	8665.0
chr9	89400667	89422630	21963	0.95903574193	7308.0
chr9	89423285	89425607	2322	0.972506890612	875.0
chr9	89426154	89447999	21845	0.97494305333	10671.0
chr9	89474947	89524715	49768	0.955402266517	18541.0
chr9	89657266	89675998	18732	0.957522261371	16363.0
chr9	89923420	89937801	14381	0.973811000626	8479.0
chr9	89944966	89945480	514	0.975	410.0
chr9	89946578	89947106	528	0.975	499.0
chr9	89947578	89950544	2966	0.975	1291.0
chr9	89951323	89951565	242	0.975	162.0
chr9	89956252	89959373	3121	0.975734380006	1277.0
chr9	89960059	89984725	24666	0.974800251358	20325.0
chr9	89985355	89990610	5255	0.974462607041	2113.0
chr9	90001695	90008264	6569	0.973668747146	3202.0
chr9	90440381	90440878	497	0.964	0.0
chr9	90870163	90906975	36812	0.952428066935	21722.0
chr9	91199422	91200831	1409	0.952	345.0
chr9	91207159	91241322	34163	0.963111846149	28159.0
chr9	91293146	91303305	10159	0.964	4752.0
chr9	91304362	91311353	6991	0.964	3665.0
chr9	91312453	91317348	4895	0.964	2315.0
chr9	91360820	91374302	13482	0.951368639668	4687.0
chr9	91374866	91383735	8869	0.954409516293	8850.0
chr9	92443416	92444316	900	0.97	801.0
chr9	92444560	92450231	5671	0.97	1544.0
chr9	92488658	92494448	5790	0.976	3156.0
chr9	92494793	92501141	6348	0.975913201008	2127.0
chr9	92504659	92522697	18038	0.975391007872	5064.0
chr9	92710162	92731697	21535	0.97585609473	10495.0
chr9	92803808	92829496	25688	0.972635783245	13136.0
chr9	92833727	92870564	36837	0.97564367348	13774.0
chr9	92873832	92882375	8543	0.976	4116.0
chr9	92882881	92897373	14492	0.973339497654	8645.0
chr9	92925096	92935789	10693	0.97	6635.0
chr9	92936492	92939049	2557	0.97	845.0
chr9	92939401	92972358	32957	0.97	23872.0
chr9	93661261	93669425	8164	0.957577413033	5410.0
chr9	93670032	93678708	8676	0.958	2136.0
chr9	93679251	93679932	681	0.958	681.0
chr9	93680350	93688734	8384	0.958	3771.0
chr9	93698322	93716258	17936	0.958	8062.0
chr9	93837414	93852122	14708	0.958	9129.0
chr9	93852630	93863968	11338	0.957871141295	5502.0
chr9	93864353	93867238	2885	0.957773656846	1653.0
chr9	105023676	105051829	28153	0.951238127375	13579.0
chr9	105068011	105114566	46555	0.961558307378	38389.0
chr9	105146544	105162379	15835	0.962740322071	11009.0
chr9	105419790	105439092	19302	0.963808672676	13100.0
chr9	107814627	107814971	344	0.950299418605	134.0
chr9	107815271	107816608	1337	0.951	1149.0
chr9	107817684	107826546	8862	0.950505416385	7003.0
chr9	110164075	110174030	9955	0.957544349573	6450.0
chr9	110174505	110182467	7962	0.958	6171.0
chr9	110277499	110291727	14228	0.950050674726	10126.0
chr9	110319000	110326517	7517	0.957959159239	5643.0
chr9	110327223	110362265	35042	0.962190343017	21600.0
chr9	110362519	110381921	19402	0.970481909082	10474.0
chr9	110382879	110383554	675	0.969134814815	84.0
chr9	110384337	110427263	42926	0.967398266785	23707.0
chr9	110432066	110432689	623	0.969609951846	212.0
chr9	110433323	110436839	3516	0.973687144482	2246.0
chr9	110443602	110468848	25246	0.968280163194	12090.0
chr9	110469281	110469661	380	0.965242105263	76.0
chr9	110470022	110478793	8771	0.96728320602	3622.0
chr9	110479611	110495236	15625	0.97405056	8455.0
chr9	110495549	110514670	19121	0.964677945714	8317.0
chr9	110541272	110555368	14096	0.967610598751	8612.0
chr9	110570371	110574703	4332	0.954030470914	2143.0
chr9	110575227	110584584	9357	0.968452388586	4089.0
chr9	110616541	110635785	19244	0.962884483475	8268.0
chr9	110636137	110638811	2674	0.971477935677	377.0
chr9	110662562	110680426	17864	0.969473578146	10997.0
chr9	110680700	110681146	446	0.966	188.0
chr9	110681259	110719853	38594	0.970804347826	17400.0
chr9	110836335	110856004	19669	0.96746753775	6481.0
chr9	110856892	110859535	2643	0.967936814226	746.0
chr9	110859913	110861015	1102	0.968	460.0
chr9	110861516	110892791	31275	0.967200863309	11326.0
chr9	110893294	110904063	10769	0.955760330579	3519.0
chr9	110931792	110939496	7704	0.959483385254	6100.0
chr9	110984809	111001788	16979	0.954034572118	11803.0
chr9	111103589	111144890	41301	0.951222464347	24801.0
chr9	120988842	121033542	44700	0.963141991051	26924.0
chr9	121309175	121375821	66646	0.964834288629	36849.0
chr9	121507590	121510314	2724	0.973624449339	1149.0
chr9	121510514	121525628	15114	0.972339023422	12975.0
chr9	121526646	121534268	7622	0.966160325374	3941.0
chr9	121729983	121733074	3091	0.953602394047	2077.0
chr9	122562256	122623569	61313	0.952618824719	27967.0
chr9	122624276	122674286	50010	0.953401259748	23257.0
chr9	122677705	122678297	592	0.952	341.0
chr9	132308843	132316933	8090	0.956733992583	3612.0
chr9	132317059	132326150	9091	0.952	3286.0
chr9	132346835	132350251	3416	0.952	1999.0
chr9	133000094	133000933	839	0.952	260.0
chr9	133001668	133002875	1207	0.958	497.0
chr9	133003422	133023651	20229	0.957429136388	12516.0
chr9	133223060	133223930	870	-1.0	197.0
chr9	133225051	133226581	1530	0.957356862745	1260.0
chr9	136459715	136464453	4738	0.952	3076.0
chr9	136524580	136525578	998	0.952	160.0
chr9	137091193	137127596	36403	-1.0	10384.0
chr9	137128085	137141493	13408	0.988	7748.0
chr9	137141992	137146477	4485	0.988	1629.0
chr9	137146584	137154469	7885	0.988	2528.0
chr9	137155055	137177434	22379	0.989880781089	6673.0
chr9	137177435	137185776	8341	0.988	1797.0
chr9	137393304	137393963	659	0.994	0.0
chr9	137394490	137396846	2356	0.994	618.0
chr9	137442397	137443865	1468	0.994	214.0
chr9	137444352	137444583	231	0.994	0.0
chr9	137445743	137464642	18899	0.994	9155.0
chr9	137466825	137474327	7502	0.994	5500.0
chr9	137477416	137495551	18135	0.99396564654	7988.0
chr9	137496882	137514591	17709	0.994	11269.0
chr9	137514693	137517761	3068	0.994	421.0
chr9	137518209	137519504	1295	0.994	320.0
chr9	137521244	137526285	5041	0.992427692918	2246.0
chr9	137526947	137529867	2920	0.988	535.0
chr9	137809849	137827803	17954	0.994	10575.0
chr9	137828344	137828738	394	0.994	91.0
chr9	137829035	137829387	352	0.994	10.0
chr9	137829663	137831549	1886	0.994	69.0
chr9	137831553	137832618	1065	0.994	0.0
chr9	137839174	137873278	34104	0.99369809993	16560.0
chr9	137885892	137897541	11649	0.988	6178.0
chr9	137897587	137924945	27358	0.988	11204.0
chr9	137928866	137942354	13488	0.98303024911	5452.0
chr9	137942566	137958260	15694	0.982	11543.0
chr9	137959372	137962276	2904	0.982	2019.0
chr9	137962737	137967088	4351	0.977858883015	2434.0
chr9	138021221	138027134	5913	0.982	1411.0
chr9	138027366	138027851	485	0.982	47.0
chr9	138027993	138032557	4564	0.982	1120.0
chr9	138044664	138045929	1265	0.988	356.0
chr9	138046453	138047645	1192	0.988	534.0
chr9	138058962	138069224	10262	0.987540537907	3587.0
chr9	138069904	138071362	1458	0.988	426.0
chr9	138071862	138073454	1592	0.988	166.0
chr9	138079152	138096567	17415	0.994	4851.0
chr9	138398293	138400475	2182	0.978381301558	369.0
chr9	138400688	138404555	3867	0.982	3783.0
chr9	138484998	138495421	10423	0.982	8742.0
chr9	138495759	138499123	3364	0.982	478.0
chr9	138499497	138506141	6644	0.981607164359	930.0
chr9	138507341	138515501	8160	0.975458823529	2421.0
chr9	138531386	138532949	1563	0.976	906.0
chr9	138533066	138539952	6886	0.976	5823.0
