chr	start	end	length	rec	bgs
chr1	2776125	2806106	29981	0.950194456489	2867.0
chr1	2847488	2848035	547	0.969	0.0
chr1	2848568	2850602	2034	0.969	157.0
chr1	2851167	2855221	4054	0.968408238777	901.0
chr1	2855355	2857025	1670	0.968	131.0
chr1	2857159	2859003	1844	0.967151843818	1062.0
chr1	2859160	2866089	6929	0.962316207245	1622.0
chr1	2866629	2876558	9929	0.968809648504	6212.0
chr1	2876831	2877310	479	0.97	0.0
chr1	2877476	2891254	13778	0.977024531862	2745.0
chr1	2891343	2892793	1450	0.981	182.0
chr1	2894919	2901454	6535	0.980400306044	1219.0
chr1	2902060	2911317	9257	0.97695549314	4853.0
chr1	2912034	2922640	10606	0.975	6167.0
chr1	2923304	2932958	9654	0.973507458048	4544.0
chr1	2933116	2934050	934	0.975	189.0
chr1	2934588	2937218	2630	0.975	30.0
chr1	2939467	2942134	2667	0.975	1482.0
chr1	2943124	2945614	2490	0.975	0.0
chr1	2946064	2949643	3579	0.975	0.0
chr1	2950398	2974136	23738	0.974892872188	12865.0
chr1	2974499	2975856	1357	0.969017686072	1072.0
chr1	3833879	3834204	325	0.976	304.0
chr1	3834624	3845268	10644	0.980993047726	5019.0
chr1	3995268	4000624	5356	-1.0	3980.0
chr1	4015322	4036199	20877	0.989764669253	11884.0
chr1	4056992	4058263	1271	0.994	912.0
chr1	4058915	4059826	911	0.994	308.0
chr1	4059953	4067763	7810	0.994	2990.0
chr1	4068582	4071161	2579	0.994	1099.0
chr1	4071924	4082175	10251	0.994	6395.0
chr1	4082542	4086626	4084	0.994	1934.0
chr1	4087175	4088046	871	0.994	0.0
chr1	4089069	4092033	2964	0.994	2561.0
chr1	4092225	4103258	11033	0.994	10180.0
chr1	4105283	4123842	18559	0.994	6193.0
chr1	4127968	4128187	219	0.993	0.0
chr1	4128670	4136992	8322	0.989660658496	2802.0
chr1	4138968	4148143	9175	0.992634768392	4415.0
chr1	4148566	4154508	5942	0.994	1631.0
chr1	4156134	4194068	37934	0.993094558971	17007.0
chr1	4204620	4216068	11448	0.988521925227	3897.0
chr1	4235959	4280903	44944	0.994	33417.0
chr1	4286005	4304402	18397	0.993416263521	14091.0
chr1	4304924	4389536	84612	0.991621070297	46538.0
chr1	4484747	4574514	89767	0.993757650361	41539.0
chr1	4575055	4596029	20974	0.989889291504	7415.0
chr1	4604366	4611794	7428	0.987173801831	657.0
chr1	4612205	4617629	5424	0.990383112094	2466.0
chr1	4621416	4631546	10130	0.992268213228	4006.0
chr1	4654071	4656306	2235	0.994	261.0
chr1	4657453	4676498	19045	0.994	5378.0
chr1	4676644	4687236	10592	0.994	5906.0
chr1	4698049	4709030	10981	0.993870867863	5572.0
chr1	4709783	4710945	1162	0.992469018933	0.0
chr1	4852593	4857511	4918	0.9692549817	1177.0
chr1	4857853	4898297	40444	0.975804865988	25791.0
chr1	4898770	4901446	2676	0.982	2517.0
chr1	4901648	4939097	37449	0.979670271569	24906.0
chr1	4957282	5017596	60314	0.98342479358	24757.0
chr1	5020256	5024018	3762	0.987074162679	504.0
chr1	5076038	5109971	33933	0.988111189697	19578.0
chr1	5109987	5127269	17282	0.992949253559	16506.0
chr1	5179914	5195343	15429	0.98608062739	8148.0
chr1	5248164	5251008	2844	0.968466244726	1146.0
chr1	5251014	5251397	383	0.967248041775	35.0
chr1	5252051	5282033	29982	0.984419918618	15933.0
chr1	5553810	5583059	29249	0.985593216862	10603.0
chr1	5590263	5621768	31505	0.986419742898	25959.0
chr1	5773753	5784786	11033	0.969579352851	5606.0
chr1	5785325	5786375	1050	0.97	143.0
chr1	14211160	14222224	11064	0.958903561099	5395.0
chr1	14222660	14239180	16520	0.966352723971	5545.0
chr1	14239579	14240554	975	0.97	255.0
chr1	14249370	14284459	35089	0.967860697085	20997.0
chr1	14286464	14288186	1722	0.97443844367	562.0
chr1	14372400	14373157	757	0.954537648613	0.0
chr1	14373549	14381653	8104	0.967500740375	4927.0
chr1	14382527	14386535	4008	0.972744261477	2439.0
chr1	14409585	14432982	23397	0.971317134675	14246.0
chr1	14445471	14451193	5722	0.978513107305	2103.0
chr1	14451694	14453818	2124	0.976018832392	1352.0
chr1	14454344	14461797	7453	0.973204749765	3107.0
chr1	14462332	14462569	237	0.977	101.0
chr1	14462979	14464602	1623	0.976597042514	519.0
chr1	14466449	14476981	10532	0.977926509685	5823.0
chr1	14477398	14506929	29531	0.978424740104	20706.0
chr1	14506986	14513691	6705	0.971753169277	345.0
chr1	14514053	14515680	1627	0.95185064536	375.0
chr1	14568485	14569868	1383	0.976209689082	96.0
chr1	14570273	14576513	6240	0.975157692308	4043.0
chr1	14577469	14579427	1958	0.978515832482	665.0
chr1	14581371	14583526	2155	0.975298839907	1053.0
chr1	14583671	14584902	1231	0.97192282697	1019.0
chr1	14606894	14620006	13112	0.970666793777	8414.0
chr1	14620428	14621815	1387	0.977717375631	565.0
chr1	14677520	14679199	1679	0.981	733.0
chr1	14746469	14750757	4288	0.973687033582	2205.0
chr1	14764569	14778679	14110	0.959554925585	6790.0
chr1	14779181	14780782	1601	0.963622111181	761.0
chr1	14781012	14781665	653	0.965	354.0
chr1	14781906	14800493	18587	0.966651207833	10149.0
chr1	14835162	14835920	758	0.952565963061	231.0
chr1	14836625	14862294	25669	0.966222836885	10523.0
chr1	14876526	14916295	39769	0.975565616435	19241.0
chr1	18153558	18169559	16001	0.958266858321	7984.0
chr1	18169969	18244720	74751	0.968952174553	41654.0
chr1	18245172	18276070	30898	0.969844520681	17207.0
chr1	18859594	18884310	24716	0.951642256028	13208.0
chr1	30320016	30322660	2644	0.957222390318	1994.0
chr1	30393724	30416989	23265	0.958	12251.0
chr1	30417683	30420264	2581	0.958	1020.0
chr1	30457463	30486127	28664	0.957567855149	16147.0
chr1	30530321	30531927	1606	0.958	717.0
