chr	start	end	length	rec	bgs
chr5	11950	13577	1627	0.982	1624.0
chr5	1656054	1660027	3973	0.994	1206.0
chr5	1755184	1764190	9006	0.994	2719.0
chr5	1764474	1768390	3916	0.994	740.0
chr5	1768631	1768896	265	0.994	0.0
chr5	1769855	1770945	1090	0.994	481.0
chr5	1771115	1775784	4669	0.994	2730.0
chr5	1776765	1780805	4040	0.994	382.0
chr5	1782205	1784721	2516	0.994	750.0
chr5	1785033	1793192	8159	0.994	2762.0
chr5	1794506	1794960	454	0.994	327.0
chr5	1795785	1796343	558	0.994	524.0
chr5	1796874	1797918	1044	0.994	57.0
chr5	1830606	1835513	4907	0.994	388.0
chr5	1836709	1837074	365	0.994	0.0
chr5	1837254	1842871	5617	0.994	481.0
chr5	1843406	1845659	2253	0.994	1083.0
chr5	1845660	1848818	3158	0.994	975.0
chr5	1849343	1851063	1720	0.994	104.0
chr5	1851611	1855780	4169	0.994	1202.0
chr5	1856682	1857680	998	0.994	0.0
chr5	1858734	1859569	835	0.994	0.0
chr5	1859994	1866532	6538	0.994	2517.0
chr5	1867703	1868482	779	0.994	42.0
chr5	1869458	1876316	6858	0.994	1572.0
chr5	1876596	1877183	587	0.994	0.0
chr5	1900602	1922450	21848	0.994	8688.0
chr5	1922711	1923803	1092	0.994	0.0
chr5	1925478	1927426	1948	0.994	431.0
chr5	1927965	1928884	919	0.994	608.0
chr5	1931909	1932462	553	0.992197106691	31.0
chr5	1959291	1960364	1073	0.994	579.0
chr5	1961475	1963462	1987	0.994	406.0
chr5	1967268	1967490	222	0.994	205.0
chr5	1973444	1975903	2459	0.994	409.0
chr5	1976288	1984636	8348	0.994	4451.0
chr5	1984877	1994276	9399	0.993063411001	6321.0
chr5	2005547	2008762	3215	0.993433281493	435.0
chr5	2008864	2018713	9849	0.994	2796.0
chr5	2019346	2020897	1551	0.994	361.0
chr5	2020944	2024752	3808	0.994	409.0
chr5	2025310	2031855	6545	0.99746065699	4243.0
chr5	2032395	2041664	9269	1.0	3856.0
chr5	2070456	2081955	11499	0.994	7905.0
chr5	2083090	2099123	16033	0.994	10947.0
chr5	2099366	2100666	1300	0.994	0.0
chr5	2102660	2106234	3574	0.994	966.0
chr5	2106980	2112795	5815	0.993088564058	1925.0
chr5	2113115	2116359	3244	0.990879161529	362.0
chr5	2116908	2119270	2362	0.993	506.0
chr5	2119500	2133335	13835	0.994192555114	6088.0
chr5	2133483	2135057	1574	1.0	348.0
chr5	2135181	2136307	1126	1.0	0.0
chr5	2136947	2142187	5240	0.999745419847	1520.0
chr5	2142346	2145084	2738	1.0	286.0
chr5	2147910	2152604	4694	1.0	992.0
chr5	2152744	2180317	27573	1.0	7211.0
chr5	2180460	2193428	12968	1.0	3569.0
chr5	2194009	2201471	7462	0.999490887162	624.0
chr5	2211665	2226671	15006	0.998990003998	2904.0
chr5	2227542	2239569	12027	1.0	8567.0
chr5	2240077	2251835	11758	1.0	6594.0
chr5	2252406	2262015	9609	0.998903736081	1287.0
chr5	2262509	2263418	909	0.99697029703	145.0
chr5	2263739	2265251	1512	0.994	966.0
chr5	2265881	2271697	5816	0.993813273728	1997.0
chr5	2271830	2272435	605	0.992955371901	58.0
chr5	2272770	2276890	4120	0.991843932039	1030.0
chr5	2277636	2279464	1828	0.994	337.0
chr5	2280940	2294490	13550	0.994	4961.0
chr5	2294558	2303833	9275	0.994	1448.0
chr5	2311197	2312532	1335	0.994	324.0
chr5	2312996	2319401	6405	0.994	5863.0
chr5	2412379	2419415	7036	0.988962762933	1562.0
chr5	2419711	2474745	55034	0.990578115347	13689.0
chr5	2475222	2476129	907	0.993	351.0
chr5	2476556	2478080	1524	0.992654855643	94.0
chr5	2478642	2487704	9062	0.99283016994	6328.0
chr5	2488196	2490113	1917	0.994	334.0
chr5	2491961	2512300	20339	0.994	4997.0
chr5	2512530	2518709	6179	0.994	1252.0
chr5	2519182	2539266	20084	0.994	6448.0
chr5	2564940	2597201	32261	0.993985431326	12064.0
chr5	2598806	2622835	24029	0.994	7825.0
chr5	2623519	2634203	10684	0.99375177836	1886.0
chr5	2638556	2652836	14280	0.993403151261	4321.0
chr5	2653024	2657133	4109	0.994	557.0
chr5	2657558	2681325	23767	0.992417133	4713.0
chr5	2681652	2694848	13196	0.988	6038.0
chr5	2695303	2707937	12634	0.988	1379.0
chr5	2708230	2712699	4469	0.988	765.0
chr5	2724703	2729159	4456	0.973301840215	347.0
chr5	2821221	2831134	9913	0.988696055684	3112.0
chr5	2835253	2842173	6920	0.992030491329	3876.0
chr5	2842398	2857877	15479	0.993182440726	3822.0
chr5	2863441	2873709	10268	0.993005843397	2175.0
chr5	2875151	2877757	2606	0.994	65.0
chr5	2878315	2895773	17458	0.993407492267	7442.0
chr5	2895971	2907130	11159	0.993996146608	2428.0
chr5	2933441	2945762	12321	0.994	10446.0
chr5	2946279	2962454	16175	0.999382751159	8206.0
chr5	2968575	2969256	681	1.0	178.0
chr5	2969722	2978674	8952	1.0	2700.0
chr5	2978704	3001197	22493	0.999969857289	5645.0
chr5	3001568	3015496	13928	1.0	4974.0
chr5	3015723	3034712	18989	0.999800884723	8020.0
chr5	3175819	3176755	936	0.998482905983	0.0
chr5	3181346	3202321	20975	0.99164772348	2117.0
chr5	3202771	3215586	12815	0.999958876317	4900.0
chr5	3216341	3227242	10901	0.996498486377	2592.0
chr5	3228228	3316990	88762	0.998880410536	31500.0
chr5	3320132	3352797	32665	0.998357293739	7295.0
chr5	3353273	3353750	477	1.0	0.0
chr5	3354247	3356328	2081	1.0	260.0
chr5	4002533	4007825	5292	0.988637188209	1133.0
chr5	4008349	4012821	4472	0.997607334526	906.0
chr5	4087462	4098434	10972	0.99937750638	2785.0
chr5	4098599	4135673	37074	0.998368533204	11904.0
chr5	4143761	4177622	33861	0.994975931012	14680.0
chr5	4178077	4198736	20659	0.999332300692	7305.0
chr5	4199444	4213463	14019	0.999950852415	2081.0
chr5	4213561	4230628	17067	0.99959524228	3281.0
chr5	4231120	4231523	403	1.0	0.0
chr5	4231966	4285301	53335	0.999363007406	20427.0
chr5	4866700	4866932	232	0.99	59.0
chr5	4868486	4874329	5843	0.991782474756	1409.0
chr5	4874872	4877043	2171	0.992572547213	812.0
chr5	4877470	4881834	4364	0.993	673.0
chr5	4882495	4898915	16420	0.993234591961	7965.0
chr5	4899241	4900024	783	0.993	300.0
chr5	4901201	4913726	12525	0.994	4379.0
chr5	4913732	4914147	415	0.994	0.0
chr5	4914603	4925002	10399	0.994	7320.0
chr5	4936762	4955501	18739	0.992715886654	3933.0
chr5	5325135	5329305	4170	0.976	654.0
chr5	5330028	5333254	3226	0.976	1500.0
chr5	5367588	5375744	8156	0.976	2528.0
chr5	5376952	5387192	10240	0.97496640625	2993.0
chr5	5397081	5402294	5213	0.97	1913.0
chr5	5403388	5408176	4788	0.962166666667	3463.0
chr5	5408763	5408976	213	0.958	49.0
chr5	5409472	5410595	1123	0.953768477293	312.0
chr5	5410646	5419406	8760	0.952	5896.0
chr5	5783720	5795965	12245	0.982844181298	3802.0
chr5	5816469	5840517	24048	0.99324155855	9539.0
chr5	5868314	5931071	62757	0.992134072693	20951.0
chr5	5957298	5972579	15281	0.994	8106.0
chr5	5973028	6019141	46113	0.994	23983.0
chr5	6020058	6020286	228	0.994	0.0
chr5	6021380	6021654	274	0.994	245.0
chr5	6022396	6030147	7751	0.993997290672	4095.0
chr5	6031013	6039537	8524	0.994	3853.0
